ID;Приоритет;Название;Статус;Примечание;Дата выполнения
TC-001;High;Успешный вход с валидными данными (login2 / password2);Passed;Переход на главную выполнен, сессия активна;2026-07-25
TC-002;Low;Проверка наличия иконки переключения видимости пароля;Failed;Иконка «глаз» отсутствует в поле пароля. Ввод отображается корректно (точки), но функционал показа пароля не реализован;2026-07-26
TC-003;High;Вход с неверным логином и/или паролем;Failed;При вводе неверных данных вход не выполнен (корректно), но отображается неинформативное сообщение «Что‑то пошло не так». Ожидалось сообщение, явно указывающее на ошибку аутентификации;2026-07-25
TC-004;Medium;Вход с пустыми полями;Passed;Появилось сообщение «Логин и пароль не могут быть пустыми»;2026-07-25
TC-005;Medium;Вход с логином и паролем из 100 символов;Passed;Поля ограничили длину ввода (логин — 33 символа, пароль — 55 символов), верстка не сломана;2026-07-25
TC-006;High;Вход со спецсимволами в логине/пароле;Failed;Спецсимволы в логине отображаются корректно, в пароле маскируются точками. Авторизация не проходит, конкретное указание на причину отсутствует;2026-07-25
TC-007;High;Выход из личного кабинета через меню;Passed;Пользователь разлогинен, переход на экран авторизации выполнен;2026-07-25
TC-008;High;Выход и повторный вход без перезапуска приложения;Passed;Сессия корректно восстанавливается, данные не теряются;2026-07-25
TC-009;Medium;Отображение списка новостей;Passed;Список непустой, элементы читаемы, нет заглушки «Нет новостей»;2026-07-25
TC-010;Medium;Разворачивание новости по иконке раскрытия;Passed;Текст описания появляется под заголовком, верстка стабильна;2026-07-25
TC-011;Medium;Проверка формата даты в новости;Passed;Дата в формате «дд.мм.гггг», текст не обрезан;2026-07-25
TC-012;Medium;Обновление списка новостей (Pull-to-Refresh) на главной;Passed;Индикатор загрузки отображается, список обновляется стабильно;2026-07-25
TC-013;Medium;Переход в раздел «Новости» из меню;Passed;Открыт раздел «Новости», заголовок совпадает;2026-07-25
TC-014;High;Просмотр полного списка новостей (скролл до конца);Failed;При выполнении свайпа вниз/вверх в любой зоне списка прокрутка не происходит, список остаётся без изменений. Функционал скролла не работает;2026-07-25
TC-015;Medium;Проверка работы кнопок сортировки (стрелки вверх/вниз у заголовка);Passed;Кнопки расположены у заголовка «Новости». При нажатии «Вверх» нижняя новость смещается вверх в начало списка; при нажатии «Вниз» верхняя новость смещается вниз в конец списка;2026-07-25
TC-016;Medium;Открытие формы фильтрации;Passed;Форма фильтрации отображается, поля и кастомный календарь доступны;2026-07-25
TC-017;Medium;Применение фильтра по категории;Passed;Результат соответствует выбранной категории, остальные скрыты;2026-07-25
TC-018;Medium;Применение фильтра по дате;Passed;Отображаются новости за указанный период, результат корректен;2026-07-25
TC-019;Medium;Фильтрация с датами будущего времени;Passed;Появляется сообщение: «Здесь пока ничего нет...»;2026-07-25
TC-020;Medium;Проверка кнопки «Отмена» в форме фильтрации;Passed;При нажатии «Отмена» форма закрывается, пользователь возвращается в раздел «Новости», фильтры сбрасываются. Работа кнопки соответствует ожидаемому поведению;2026-07-26
TC-021;High;Создание новости с валидными данными;Passed;Новость успешно создана и отображается в списке. Введённые данные корректны. Автоматически проставлены поля «Автор» и «Дата публикации». Требуется отдельная проверка корректности автоматических полей;2026-07-25
TC-022;High;Проверка автоматических атрибутов (дата, автор);Failed;Дата создания отображается некорректно: «02.05.58536» (невозможная дата). Поле «Автор» автоматически заполнено как «Лебедев Д.А.», хотя в форме создания его нет. Неясно, откуда берётся это значение: возможно, жёстко прописано либо не соответствует текущему пользователю. Требуется уточнение логики заполнения этих полей;2026-07-26
TC-023;Medium;Создание новости без выбора категории;Passed;Появляется предупреждение в виде красного восклицательного знака и сообщение «Заполните пустые поля»;2026-07-26
TC-024;Medium;Создание новости с пустым заголовком;Passed;Появляется предупреждение в виде красного восклицательного знака и сообщение «Заполните пустые поля»;2026-07-25
TC-025;Medium;Создание новости с пустым описанием;Passed;Появляется предупреждение в виде красного восклицательного знака и сообщение «Заполните пустые поля»;2026-07-25
TC-026;Medium;Создание новости с пробелами в начале заголовка;Passed;Пробелы в начале удалены (trim), верстка не ломается;2026-07-25
TC-027;Medium;Проверка валидации заголовка: запрет бессмысленных спецсимволов;Failed;При вводе заголовка из бессмысленных спецсимволов («!!!@@@###») новость успешно сохраняется. Отсутствует валидация на недопустимые/мусорные символы;2026-07-25
TC-028;Medium;Обработка допустимых спецсимволов в типичном заголовке («Внимание!»);Passed;Заголовок «Внимание!» успешно сохранён, спецсимвол «!» корректно отображается в карточке и списке. Поведение соответствует ожидаемому;2026-07-26
TC-029;Medium;Проверка ограничения длины заголовка при вводе;Failed;Поле не ограничивает ввод до максимальной длины;2026-07-25
TC-030;Medium;Редактирование заголовка существующей новости;Passed;Заголовок изменяется в списке, изменения сохранены;2026-07-25
TC-031;High;Удаление новости с подтверждением;Passed;Новость исчезает из списка, UI обновляется;2026-07-25
TC-032;Medium;Валидация пустого описания при редактировании новости;Passed;При попытке сохранить новость с пустым описанием появилось сообщение «Заполните пустые поля». Изменения не сохранены;2026-07-25
TC-033;Medium;Обновление списка новостей (Pull-to-Refresh) в разделе Новости;Passed;Список стабильно обновляется при каждом жесте, индикатор загрузки отображается;2026-07-25
TC-034;Medium;Создание новости с очень длинным описанием (граничная длина);Failed;Поле «Описание» не имеет ограничения на длину: можно вводить текст бесконечно. При сохранении новость сохраняется с чрезмерно длинным описанием;2026-07-25
TC-035;Medium;Создание новости с эмодзи в заголовке и описании;Passed;Эмодзи отображаются корректно, приложение не падает;2026-07-25
TC-036;High;Проверка уникальности заголовка новости;Failed;При повторном создании новости с идентичным заголовком система сохраняет дубликат без предупреждения;2026-07-25
TC-037;High;Попытка сортировки первой новости вверх;Failed;Кнопка сортировки («Вверх») отсутствует;2026-07-25
TC-038;High;Попытка сортировки последней новости вниз;Failed;Кнопка сортировки («Вниз») отсутствует;2026-07-25
TC-039;Medium;Многократный Pull-to-Refresh подряд (5–10 раз);Passed;Нет зависаний, список обновляется, индикатор не «залипает»;2026-07-25
TC-040;Medium;Быстрый двойной клик по кнопке «Сохранить» при создании новости;Passed;Создаётся только одна новость, нет дублей;2026-07-25
TC-041;Medium;Быстрый двойной клик по кнопке «Удалить» новости;Passed;Диалог подтверждения появляется, удаление происходит только после подтверждения;2026-07-25
TC-042;Medium;Возврат назад из формы создания новости без сохранения;Passed;Форму удаётся закрыть, черновик не сохраняется, список новостей не меняется;2026-07-25
TC-043;High;Поведение списка новостей при слабом соединении (эмуляция плохой сети);Failed;При эмуляции плохой сети список пуст (кэш не отображается), появляется неинформативное сообщение «Что‑то пошло не так. Попробуйте позднее». Ожидалось отображение кэша и понятной причины ошибки;2026-07-25
TC-044;Medium;Проверка отображения длинного заголовка в карточке новости;Passed;Заголовок корректно переносится и обрезается многоточием, верстка карточки не ломается;2026-07-25
TC-045;Medium;Переход в раздел «Цитаты» из меню;Passed;Открыт раздел «Цитаты», отображается список цитат;2026-07-25
TC-046;Medium;Разворачивание цитаты по иконке раскрытия;Passed;Текст цитаты разворачивается полностью, верстка стабильна;2026-07-25
TC-047;Medium;Сворачивание цитаты повторным нажатием;Passed;Текст сворачивается обратно, виден только заголовок;2026-07-25
TC-048;Low;Закрытие выпадающего списка цитат (нажатие вне элемента);Failed;Клик вне цитат не сворачивает ни одну цитату. Тап в середине экрана сворачивает только ту цитату, по которой пришёлся тап;2026-07-26
