ID	Приоритет	Раздел	Заголовок	Предусловие	Шаги	Ожидаемый результат	Автоматизация (Да/Нет)	Причина отказа от автоматизации
TC-001	High	Авторизация	Успешный вход с валидными данными	Приложение установлено, открыта страница авторизации	1. Ввести "login2" в поле "Логин". 2. Ввести "password2" в поле "Пароль". 3. Нажать "Войти".	Пользователь переходит на главную страницу, сессия активна.	Да	—
TC-002	Low	Авторизация	Проверка наличия иконки переключения видимости пароля	Приложение установлено, открыта страница авторизации, поле "Пароль" заполнено	1. Проверить наличие иконки "глаз" справа от поля "Пароль".	Иконка "глаз" отображается, по нажатию пароль становится видимым.	Нет	Требуется ручная проверка наличия и поведения UI‑элемента.
TC-003	High	Авторизация	Вход с неверным логином и/или паролем	Приложение установлено, открыта страница авторизации	1. Ввести "wrong_login" в поле "Логин". 2. Ввести "wrong_password" в поле "Пароль". 3. Нажать "Войти".	Появляется сообщение об ошибке, пользователь остаётся на странице авторизации.	Да	—
TC-004	Medium	Авторизация	Вход с пустыми полями	Приложение установлено, открыта страница авторизации	1. Оставить поле "Логин" пустым. 2. Оставить поле "Пароль" пустым. 3. Нажать "Войти".	Появляется сообщение "Логин и пароль не могут быть пустыми".	Да	—
TC-005	Medium	Авторизация	Вход с логином и паролем из 100 символов	Приложение установлено, открыта страница авторизации	1. Ввести 100 символов в поле "Логин". 2. Ввести 100 символов в поле "Пароль". 3. Нажать "Войти".	Поля ограничивают длину ввода либо обрезают ввод, верстка не ломается.	Нет	Риск нестабильности UI (обрезка, скролл, кастомные поля), высокая вероятность ложных падений автотеста.
TC-006	High	Авторизация	Вход со спецсимволами в логине/пароле	Приложение установлено, открыта страница авторизации	1. Ввести спецсимволы в поле "Логин". 2. Ввести спецсимволы в поле "Пароль". 3. Нажать "Войти".	Приложение не падает, спецсимволы корректно отображаются/обрабатываются, вход не выполнен.	Нет	Требуется ручная проверка отображения спецсимволов и отсутствия сбоев UI.
TC-007	High	Авторизация	Выход из личного кабинета через меню	Пользователь авторизован (login2/password2)	1. Нажать на иконку меню. 2. Выбрать пункт "Выйти". 3. Подтвердить выход.	Пользователь разлогинивается, переход на экран авторизации.	Да	—
TC-008	High	Авторизация	Выход и повторный вход без перезапуска приложения	Пользователь авторизован, затем вышел из системы	1. Снова ввести "login2"/"password2". 2. Нажать "Войти".	Пользователь успешно входит на главную страницу, данные сессии не теряются.	Да	—
TC-009	Medium	Главная страница	Отображение списка новостей	Пользователь авторизован (login2/password2), открыта главная страница	1. Открыть главную страницу. 2. Проверить наличие списка новостей.	Отображается непустой список новостей, элементы читаемы, нет заглушки "Нет новостей".	Да	—
TC-010	Medium	Главная страница	Разворачивание новости по иконке раскрытия	Пользователь авторизован, на главной странице есть новости	1. Нажать на иконку раскрытия справа от новости. 2. Дождаться появления текста.	Текст описания новости появляется под заголовком, верстка стабильна.	Да	—
TC-011	Medium	Главная страница	Проверка формата даты в новости	Пользователь авторизован, на главной странице есть новости	1. Проверить формат даты у любой новости в списке.	Дата отображается в формате "дд.мм.гггг", текст не обрезан.	Нет	Валидация формата даты требует ручной проверки.
TC-012	Medium	Новости	Обновление списка новостей (Pull‑to‑Refresh) на главной	Пользователь авторизован, открыта главная страница	1. Сделать жест "потянуть вниз". 2. Дождаться обновления. 3. Повторить жест 3 раза подряд.	При каждом жесте список стабильно обновляется, индикатор загрузки отображается, нет зависаний.	Да	—
TC-013	Medium	Новости	Переход в раздел "Новости" из меню	Пользователь авторизован (login2/password2)	1. Нажать на иконку меню. 2. Выбрать пункт "Новости".	Открыт раздел "Новости", заголовок совпадает, отображается список новостей.	Да	—
